=,&equals;
\^{O},&Ocirc;
\'{o},&ograve;
\'{O},&Ograve;
\o,&oslash;
\O,&Oslash;
\~{o},&otilde;
\~{O},&Otilde;
"\""{o}",&ouml;
"\""{O}",&Ouml;
\ss,&szlig;
\th,&thorn;
\TH,&THORN;
\'{u},&uacute;
\'{U},&Uacute;
\^{u},&ucirc;
\^{U},&Ucirc;
\'{u},&ugrave;
\'{U},&Ugrave;
"\""{u}",&uuml;
"\""{U}",&Uuml;
\'{y},&yacute;
\'{Y},&Yacute;
"\""{y}",&yuml;
\u{a},&abreve;
\u{A},&Abreve;
\={a},&amacr;
\={A},&Amacr;
\k{a},&aogon;
\k{A},&Aogon;
\'{c},&cacute;
\'{C},&Cacute;
\v{c},&ccaron;
\v{C},&Ccaron;
\^{c},&ccirc;
\^{C},&Ccirc;
\.{c},&cdot;
\.{C},&Cdot;
\v{d},&dcaron;
\v{D},&Dcaron;
\dj,&dstrok;
\DJ,&Dstrok;
\v{e},&ecaron;
\v{E},&Ecaron;
\.{e},&edot;
\.{E},&Edot;
\={e},&emacr;
\={E},&Emacr;
\k{e},&eogon;
\k{E},&Eogon;
\'{g},&gacute;
\u{g},&gbreve;
\u{G},&Gbreve;
\c{G},&Gcedil;
\^{g},&gcirc;
\c{g},&gcedil;
\^{G},&Gcirc;
\.{g},&gdot;
\.{G},&Gdot;
\^{h},&hcirc;
\^{H},&Hcirc;
\hstrok,&hstrok;
\Hstrok,&Hstrok;
\.{I},&Idot;
\={I},&Imacr;
\={\i},&imacr;
\ij,&ijlig;
\IJ,&IJlig;
\i,&inodot;
\k{i},&iogon;
\k{I},&Iogon;
\~{\i},&itilde;
\~{I},&Itilde;
\^{\j},&jcirc;
\^{J},&Jcirc;
\c{k},&kcedil;
\c{K},&Kcedil;
\textsc{k},&kgreen;
\'{l},&lacute;
\'{L},&Lacute;
\v{l},&lcaron;
\v{L},&Lcaron;
\c{l},&lcedil;
\c{L},&Lcedil;
\lmidot,&lmidot;
\Lmidot,&Lmidot;
\l,&lstrok;
\L,&Lstrok;
\'{n},&nacute;
\'{N},&Nacute;
\ng,&eng;
\NG,&ENG;
n\'{},&napos;
\v{n},&ncaron;
\v{N},&Ncaron;
\c{n},&ncedil;
\c{N},&Ncedil;
\H{o},&odblac;
\H{O},&Odblac;
\={O},&Omacr;
\={o},&omacr;
\oe,&oelig;
\OE,&OElig;
\'{r},&racute;
\'{R},&Racute;
\v{r},&rcaron;
\v{R},&Rcaron;
\c{r},&rcedil;
\c{R},&Rcedil;
\'{s},&sacute;
\'{S},&Sacute;
\v{s},&scaron;
\v{S},&Scaron;
\c{s},&scedil;
\c{S},&Scedil;
\^{s},&scirc;
\^{S},&Scirc;
\v{t},&tcaron;
\v{T},&Tcaron;
\c{t},&tcedil;
\c{T},&Tcedil;
\tstrok,&tstrok;
\Tstrok,&Tstrok;
\u{u},&ubreve;
\u{U},&Ubreve;
\H{u},&udblac;
\H{U},&Udblac;
\={u},&umacr;
\={U},&Umacr;
\k{u},&uogon;
\k{U},&Uogon;
\r{u},&uring;
\r{U},&Uring;
\~{u},&utilde;
\~{U},&Utilde;
\^{w},&wcirc;
\^{W},&Wcirc;
\^{y},&ycirc;
\^{Y},&Ycirc;
"\""{Y}",&Yuml;
\'{z},&zacute;
\'{Z},&Zacute;
